Fecha,Hora,Place,humedad_suelo,humedad_amb,temperatura
26 02 23,00:45:20,sala,56%,47.70%,22.40C
26 02 23,00:45:20,cuarto,7.924354%,35%,23C
26 02 23,00:45:27,sala,56%,47.20%,22.40C
26 02 23,00:45:27,cuarto,7.825953%,34%,23C
26 02 23,00:45:34,sala,56%,47.00%,22.40C
26 02 23,00:45:34,cuarto,8.022756%,35%,23C
26 02 23,00:45:41,sala,56%,46.90%,22.40C
26 02 23,00:45:41,cuarto,8.071956%,35%,23C
26 02 23,00:45:49,sala,56%,46.90%,22.40C
26 02 23,00:45:49,cuarto,8.121156%,35%,23C
26 02 23,00:45:56,sala,56%,47.40%,22.40C
26 02 23,00:45:56,cuarto,7.875154%,35%,23C
26 02 23,00:46:03,sala,56%,47.40%,22.40C
26 02 23,00:46:03,cuarto,7.973555%,35%,23C
26 02 23,00:46:10,sala,56%,47.40%,22.40C
26 02 23,00:46:10,cuarto,7.825953%,35%,23C
26 02 23,00:46:18,sala,56%,47.10%,22.40C
26 02 23,00:46:18,cuarto,7.825953%,35%,23C
26 02 23,00:46:25,sala,56%,46.90%,22.40C
26 02 23,00:46:25,cuarto,7.924354%,35%,23C
26 02 23,00:46:32,sala,56%,46.60%,22.40C
26 02 23,00:46:32,cuarto,7.875154%,35%,23C
26 02 23,00:46:40,sala,56%,46.70%,22.40C
26 02 23,00:46:40,cuarto,8.071956%,35%,23C
26 02 23,00:46:47,sala,56%,47.20%,22.40C
26 02 23,00:46:47,cuarto,7.924354%,35%,23C
26 02 23,00:46:54,sala,56%,47.10%,22.40C
26 02 23,00:46:54,cuarto,10.18758%,35%,23C
26 02 23,00:47:01,sala,56%,47.10%,22.40C
26 02 23,00:47:01,cuarto,7.825953%,34%,23C
26 02 23,00:47:09,sala,56%,46.90%,22.40C
26 02 23,00:47:09,cuarto,7.973555%,34%,23C
26 02 23,00:47:16,sala,56%,47.00%,22.40C
26 02 23,00:47:16,cuarto,8.071956%,35%,23C
26 02 23,00:47:23,sala,56%,47.00%,22.40C
26 02 23,00:47:23,cuarto,7.825953%,35%,23C
26 02 23,00:47:31,sala,56%,47.20%,22.30C
26 02 23,00:47:31,cuarto,7.825953%,35%,23C
26 02 23,00:47:38,sala,56%,47.70%,22.40C
26 02 23,00:47:38,cuarto,8.071956%,35%,23C
26 02 23,00:47:45,sala,56%,47.90%,22.30C
26 02 23,00:47:45,cuarto,7.825953%,35%,23C
26 02 23,00:47:52,sala,56%,48.30%,22.40C
26 02 23,00:47:52,cuarto,7.825953%,35%,23C
26 02 23,00:48:00,sala,56%,48.20%,22.40C
26 02 23,00:48:00,cuarto,7.776753%,35%,23C
26 02 23,00:48:07,sala,56%,48.10%,22.40C
26 02 23,00:48:07,cuarto,7.825953%,35%,23C
26 02 23,00:48:14,sala,56%,47.70%,22.40C
26 02 23,00:48:14,cuarto,7.924354%,35%,23C
26 02 23,00:48:21,sala,56%,47.40%,22.40C
26 02 23,00:48:21,cuarto,7.825953%,35%,23C
26 02 23,00:48:29,sala,56%,47.10%,22.40C
26 02 23,00:48:29,cuarto,7.875154%,35%,23C
26 02 23,00:48:36,sala,56%,46.90%,22.40C
26 02 23,00:48:36,cuarto,7.579951%,35%,23C
26 02 23,00:48:43,sala,56%,46.80%,22.40C
26 02 23,00:48:43,cuarto,7.678352%,35%,23C
26 02 23,00:48:58,sala,56%,46.90%,22.40C
26 02 23,00:48:58,cuarto,7.924354%,35%,23C
26 02 23,00:49:05,sala,56%,46.90%,22.40C
26 02 23,00:49:05,cuarto,7.973555%,35%,23C
26 02 23,00:49:12,sala,56%,47.00%,22.40C
26 02 23,00:49:12,cuarto,7.825953%,35%,23C
26 02 23,00:49:20,sala,56%,47.30%,22.40C
26 02 23,00:49:20,cuarto,7.924354%,35%,23C
26 02 23,00:49:34,sala,56%,47.10%,22.40C
26 02 23,00:49:34,cuarto,8.121156%,35%,23C
26 02 23,00:49:41,sala,56%,47.10%,22.40C
26 02 23,00:49:41,cuarto,8.121156%,35%,23C
26 02 23,00:49:49,sala,56%,47.00%,22.40C
26 02 23,00:49:49,cuarto,8.022756%,35%,23C
26 02 23,00:49:56,sala,56%,46.80%,22.40C
26 02 23,00:49:56,cuarto,7.973555%,35%,23C
26 02 23,00:50:03,sala,56%,46.50%,22.40C
26 02 23,00:50:03,cuarto,7.776753%,35%,23C
26 02 23,00:50:47,sala,56%,47.40%,22.30C
26 02 23,00:50:47,cuarto,8.121156%,35%,23C
26 02 23,00:50:54,sala,56%,47.80%,22.40C
26 02 23,00:50:54,cuarto,7.825953%,35%,23C
26 02 23,00:51:01,sala,56%,48.00%,22.40C
26 02 23,00:51:01,cuarto,7.727552%,35%,23C
26 02 23,00:51:09,sala,56%,48.10%,22.40C
26 02 23,00:51:09,cuarto,7.825953%,35%,23C
26 02 23,00:51:16,sala,56%,48.30%,22.40C
26 02 23,00:51:16,cuarto,7.924354%,34%,23C
26 02 23,00:51:23,sala,56%,47.70%,22.40C
26 02 23,00:51:23,cuarto,7.727552%,34%,23C
